calc post impressions unique,Calc Percentage consumption unique,calc post fan engagement percent,calc total engagement percentage,calc total reactions,calc shares as a percent of engagement,Created At (Days),Created At,Fb Content Piece Id,Fb Id,Number of Records,Post Consumption Other clicks,Post consumption link clicks,Post consumption photo view,Post consumptions link click unique,Post consumptions other clicks unique,Post consumptions photo view unique,Post consumptions unique,Post consumptions,Post engaged fan,Post engaged users,Post fan reach,Post impressions by story type unique,Post impressions by story type,Post impressions fan unique,Post impressions organic unique,Post impressions organic,Post impressions paid unique,Post impressions paid,Post impressions total unique,Post impressions total,Post impressions unique,Post impressions unpaid unique,Post impressions unpaid,Post impressions viral unique,Post impressions viral,Post impressions,Post negative feedback unique,Post negative feedback,Post reaction anger total,Post stories comments,Post stories like,Post stories share,Post story adds unique,Post story adds,Post storytellers comment,Post storytellers like,Post storytellers share,Post storytellers,Total Post reactions anger,Total Post reactions sorry,Total post reactions haha,Total post reactions like,Total post reactions love,Total post reactions wow,Updated At,Post Impressions Fans,Post Reactions Haha Total,Post Reactions Like Total,Post Reactions Love Total 1,Post Reactions Sorry Total,Post Reactions Wow Total,Post Stories Lifetime,Post Story Adds Comment Unique,Post Story Adds Comments,Post Story Adds Like Unique,Post Story Adds Like,Post Story Adds Share Unique,Post Story Ads Share
5124,0.014832162,0.063361983,0.048253404,278,0.006134969,16,3/16/2017 12:10:28 PM,58ca253ae04033ff8d2c8bd7,222530618111374_403382763359491,1,72,,61,,32,59,76,133,317,326,5003,150,174,5003,5124,6582,0,0,5236,6756,5236,5236,6756,150,174,6756,0,0,1,,278,2,269,280,,268,2,269,1,1,6,256,1,13,3/16/2017 12:10:28 PM,6461,6,256,1,1,13,280,,,268,278,2,2
7271,0.015128593,0.062105706,0.046586996,401,0.008695652,16,3/16/2017 1:10:20 PM,58ca253ae04033ff8d2c8bd7,222530618111374_403382763359491,1,98,,86,,51,81,110,184,443,460,7133,273,318,7133,7271,9556,0,0,7523,9874,7523,7523,9874,273,318,9874,1,1,1,1,401,4,386,406,1,383,4,386,1,2,8,371,2,17,3/16/2017 1:10:20 PM,9331,8,371,2,2,17,406,1,1,383,401,4,4
9008,0.016318828,0.065523156,0.047732130,514,0.009950249,16,3/16/2017 2:10:23 PM,58ca253ae04033ff8d2c8bd7,222530618111374_403382763359491,1,113,1,113,1,63,107,147,227,573,603,8745,391,476,8745,9008,12157,0,0,9422,12633,9422,9422,12633,391,476,12633,1,1,1,1,514,6,494,521,1,490,6,494,1,2,9,479,3,20,3/16/2017 2:10:23 PM,11790,9,479,3,2,20,521,1,1,490,514,6,6
10655,0.016987330,0.066098081,0.047886195,612,0.008368201,16,3/16/2017 3:10:24 PM,58ca253ae04033ff8d2c8bd7,222530618111374_403382763359491,1,120,2,141,1,69,134,181,263,682,717,10318,516,627,10318,10655,14346,0,0,11122,14973,11122,11122,14973,516,627,14973,1,1,1,1,611,6,584,618,1,580,6,584,1,2,10,574,3,22,3/16/2017 3:10:24 PM,13860,10,574,3,2,22,618,1,1,580,611,6,6
11860,0.017032041,0.067355264,0.049076486,702,0.008443908,16,3/16/2017 4:10:23 PM,58ca253ae04033ff8d2c8bd7,222530618111374_403382763359491,1,127,3,156,1,76,149,202,286,776,829,11521,646,772,11521,11860,16120,0,0,12464,16892,12464,12464,16892,646,772,16892,1,1,1,1,701,7,675,709,1,671,7,675,1,2,10,663,3,23,3/16/2017 4:10:23 PM,15507,10,663,3,2,23,709,1,1,671,701,7,7
13080,0.017584098,0.066576841,0.049101343,772,0.008820287,16,3/16/2017 5:10:22 PM,58ca253ae04033ff8d2c8bd7,222530618111374_403382763359491,1,137,3,174,1,86,168,230,314,840,907,12617,772,921,12617,13080,17551,0,0,13744,18472,13744,13744,18472,772,921,18472,1,1,1,2,771,8,736,781,2,728,8,736,1,2,10,731,3,25,3/16/2017 5:10:22 PM,16849,10,731,3,2,25,781,2,2,728,771,8,8
13863,0.018250018,0.068159688,0.049803803,836,0.008080808,16,3/16/2017 6:10:38 PM,58ca253ae04033ff8d2c8bd7,222530618111374_403382763359491,1,144,3,193,1,93,186,253,340,910,990,13351,876,1052,13351,13863,18826,0,0,14599,19878,14599,14599,19878,876,1052,19878,1,1,1,4,835,8,795,847,3,786,8,795,1,2,10,794,3,26,3/16/2017 6:10:38 PM,18051,10,794,3,2,26,847,3,4,786,835,8,8
14835,0.018874284,0.069837279,0.050426037,903,0.008310249,16,3/16/2017 7:10:33 PM,58ca253ae04033ff8d2c8bd7,222530618111374_403382763359491,1,150,3,214,1,99,208,280,367,1000,1083,14319,1039,1219,14319,14835,20258,0,0,15722,21477,15722,15722,21477,1039,1219,21477,1,1,1,4,902,9,863,915,3,852,9,863,1,3,12,855,3,29,3/16/2017 7:10:33 PM,19401,12,855,3,3,29,915,3,4,852,902,9,9
16258,0.019375077,0.068452192,0.049355950,982,0.008613264,16,3/16/2017 8:10:26 PM,58ca253ae04033ff8d2c8bd7,222530618111374_403382763359491,1,156,3,244,1,105,237,315,403,1076,1161,15719,1229,1450,15719,16258,22073,0,0,17335,23523,17335,17335,23523,1229,1450,23523,1,1,1,4,981,10,918,995,3,907,10,918,1,4,12,932,3,30,3/16/2017 8:10:26 PM,21158,12,932,3,4,30,995,3,4,907,981,10,10
17234,0.019612394,0.069402716,0.049060336,1049,0.008870968,16,3/16/2017 9:10:27 PM,58ca253ae04033ff8d2c8bd7,222530618111374_403382763359491,1,160,3,263,1,108,258,338,426,1155,1240,16642,1380,1604,16642,17234,23671,0,0,18388,25275,18388,18388,25275,1380,1604,25275,1,1,1,4,1048,11,983,1063,3,972,11,983,1,5,12,995,3,33,3/16/2017 9:10:27 PM,22709,12,995,3,5,33,1063,3,4,972,1048,11,11
